PROGENY_pathways	NES_MSIvsMSS
Androgen	0.6667189643603239
EGFR	3.844774489631088
Estrogen	-0.5266002224699947
Hypoxia	6.822635122415575
JAK.STAT	11.697339704378686
MAPK	4.361097731325951
NFkB	7.244806272576778
p53	2.4346966070693075
PI3K	1.2009962446981273
TGFb	-3.5951812273096118
TNFa	5.658854496255163
Trail	1.654415202618036
VEGF	1.6289224142033676
WNT	-0.35212694173825015
